Raw_Affiliation,Latitude,Longitude,in_science_park_osm,park_name_osm,univ_research_count,nearest_station_m,nearest_junction_m,method_used_osm,park_name_gt,nearest_park_wikidata_id,distance_to_park_m,in_science_park_gt,agree
"Abramson Cancer Center, Perelman School of Medicine, University of Pennsylvania, Philadelphia, PA, USA. mej@pennmedicine.upenn.edu",39.9522148,-75.1955729,False,,4.0,539.3449702128324,863.4597817387142,B_density_fallback,University City Science Center,Q7894587,559.7,True,False
"Center for Cellular Immunotherapies, Perelman School of Medicine, University of Pennsylvania, Philadelphia, PA, USA. mej@pennmedicine.upenn.edu",39.9522148,-75.1955729,False,,4.0,539.3449702128324,863.4597817387142,B_density_fallback,University City Science Center,Q7894587,559.7,True,False
"Department of Pathology and Laboratory Medicine, Perelman School of Medicine, University of Pennsylvania, Philadelphia, PA, USA. mej@pennmedicine.upenn.edu",39.9522148,-75.1955729,False,,4.0,539.3449702128324,863.4597817387142,B_density_fallback,University City Science Center,Q7894587,559.7,True,False
"Institute for Immunology, Perelman School of Medicine, University of Pennsylvania, Philadelphia, PA, USA. mej@pennmedicine.upenn.edu",39.9522148,-75.1955729,False,,4.0,539.3449702128324,863.4597817387142,B_density_fallback,University City Science Center,Q7894587,559.7,True,False
"Parker Institute for Cancer Immunotherapy, University of Pennsylvania, Philadelphia, USA. mej@pennmedicine.upenn.edu",39.9522148,-75.1955729,False,,4.0,539.3449702128324,863.4597817387142,B_density_fallback,University City Science Center,Q7894587,559.7,True,False
"Center for Cellular Immunotherapies, Perelman School of Medicine, University of Pennsylvania, Philadelphia, PA, USA",39.9522148,-75.1955729,False,,4.0,539.3449702128324,863.4597817387142,B_density_fallback,University City Science Center,Q7894587,559.7,True,False
"Graduate Group in Genomics and Computational Biology, University of Pennsylvania, Philadelphia, PA, USA",39.9522148,-75.1955729,False,,4.0,539.3449702128324,863.4597817387142,B_density_fallback,University City Science Center,Q7894587,559.7,True,False
"Abramson Cancer Center, Perelman School of Medicine, University of Pennsylvania, Philadelphia, PA, USA",39.9522148,-75.1955729,False,,4.0,539.3449702128324,863.4597817387142,B_density_fallback,University City Science Center,Q7894587,559.7,True,False
"Department of Pathology and Laboratory Medicine, Perelman School of Medicine, University of Pennsylvania, Philadelphia, PA, USA",39.9522148,-75.1955729,False,,4.0,539.3449702128324,863.4597817387142,B_density_fallback,University City Science Center,Q7894587,559.7,True,False
"Department of Medicine, University of Pennsylvania, Philadelphia, PA, USA",39.9522148,-75.1955729,False,,4.0,539.3449702128324,863.4597817387142,B_density_fallback,University City Science Center,Q7894587,559.7,True,False
"Center for Childhood Cancer Research, The Children's Hospital of Philadelphia, Philadelphia, PA, USA",39.9476181,-75.1944141,False,,4.0,347.3975277807241,454.76499941008205,B_density_fallback,University City Science Center,Q7894587,993.9,True,False
"Department of Pediatrics, Perelman School of Medicine, University of Pennsylvania, Philadelphia, USA",39.9522148,-75.1955729,False,,4.0,539.3449702128324,863.4597817387142,B_density_fallback,University City Science Center,Q7894587,559.7,True,False
"Graduate Group in Cell & Molecular Biology, University of Pennsylvania, Philadelphia, PA, USA",39.9522148,-75.1955729,False,,4.0,539.3449702128324,863.4597817387142,B_density_fallback,University City Science Center,Q7894587,559.7,True,False
"Novartis Institute for Biomedical Research, Cambridge, MA, USA",42.3656347,-71.1040018,False,,14.0,50.51872005193586,1281.2052964706606,B_density_fallback,University City Science Center,Q7894587,434510.5,False,True
"Department of Microbiology, Perelman School of Medicine, University of Pennsylvania, Philadelphia, PA, USA",39.9522148,-75.1955729,False,,4.0,539.3449702128324,863.4597817387142,B_density_fallback,University City Science Center,Q7894587,559.7,True,False
"Division of Hematology and Oncology, Perelman School of Medicine, University of Pennsylvania, Philadelphia, PA, USA",39.9522148,-75.1955729,False,,4.0,539.3449702128324,863.4597817387142,B_density_fallback,University City Science Center,Q7894587,559.7,True,False
"Department of Transfusion Medicine, Perelman School of Medicine, University of Pennsylvania, Philadelphia, PA, USA",39.9522148,-75.1955729,False,,4.0,539.3449702128324,863.4597817387142,B_density_fallback,University City Science Center,Q7894587,559.7,True,False
"Department of Systems Pharmacology and Translational Therapeutics, Perelman School of Medicine, University of Pennsylvania, Philadelphia, PA, USA",39.9522148,-75.1955729,False,,4.0,539.3449702128324,863.4597817387142,B_density_fallback,University City Science Center,Q7894587,559.7,True,False
"Institute for Immunology, Perelman School of Medicine, University of Pennsylvania, Philadelphia, PA, USA",39.9522148,-75.1955729,False,,4.0,539.3449702128324,863.4597817387142,B_density_fallback,University City Science Center,Q7894587,559.7,True,False
"Parker Institute for Cancer Immunotherapy, University of Pennsylvania, Philadelphia, USA",39.9522148,-75.1955729,False,,4.0,539.3449702128324,863.4597817387142,B_density_fallback,University City Science Center,Q7894587,559.7,True,False
"Abramson Cancer Center, Perelman School of Medicine, University of Pennsylvania, Philadelphia, PA, USA. tank1@chop.edu",39.9522148,-75.1955729,False,,4.0,539.3449702128324,863.4597817387142,B_density_fallback,University City Science Center,Q7894587,559.7,True,False
"Department of Pediatrics, Perelman School of Medicine, University of Pennsylvania, Philadelphia, USA. tank1@chop.edu",39.9522148,-75.1955729,False,,4.0,539.3449702128324,863.4597817387142,B_density_fallback,University City Science Center,Q7894587,559.7,True,False
"Graduate Group in Cell & Molecular Biology, University of Pennsylvania, Philadelphia, PA, USA. tank1@chop.edu",39.9522148,-75.1955729,False,,4.0,539.3449702128324,863.4597817387142,B_density_fallback,University City Science Center,Q7894587,559.7,True,False
"Graduate Group in Genomics and Computational Biology, University of Pennsylvania, Philadelphia, PA, USA. tank1@chop.edu",39.9522148,-75.1955729,False,,4.0,539.3449702128324,863.4597817387142,B_density_fallback,University City Science Center,Q7894587,559.7,True,False
"Institute for Immunology, Perelman School of Medicine, University of Pennsylvania, Philadelphia, PA, USA. tank1@chop.edu",39.9522148,-75.1955729,False,,4.0,539.3449702128324,863.4597817387142,B_density_fallback,University City Science Center,Q7894587,559.7,True,False
"Abramson Cancer Center, Perelman School of Medicine, University of Pennsylvania, Philadelphia, PA, USA. cjune@upenn.edu",39.9522148,-75.1955729,False,,4.0,539.3449702128324,863.4597817387142,B_density_fallback,University City Science Center,Q7894587,559.7,True,False
"Center for Cellular Immunotherapies, Perelman School of Medicine, University of Pennsylvania, Philadelphia, PA, USA. cjune@upenn.edu",39.9522148,-75.1955729,False,,4.0,539.3449702128324,863.4597817387142,B_density_fallback,University City Science Center,Q7894587,559.7,True,False
"Department of Pathology and Laboratory Medicine, Perelman School of Medicine, University of Pennsylvania, Philadelphia, PA, USA. cjune@upenn.edu",39.9522148,-75.1955729,False,,4.0,539.3449702128324,863.4597817387142,B_density_fallback,University City Science Center,Q7894587,559.7,True,False
"Institute for Immunology, Perelman School of Medicine, University of Pennsylvania, Philadelphia, PA, USA. cjune@upenn.edu",39.9522148,-75.1955729,False,,4.0,539.3449702128324,863.4597817387142,B_density_fallback,University City Science Center,Q7894587,559.7,True,False
"Parker Institute for Cancer Immunotherapy, University of Pennsylvania, Philadelphia, USA. cjune@upenn.edu",39.9522148,-75.1955729,False,,4.0,539.3449702128324,863.4597817387142,B_density_fallback,University City Science Center,Q7894587,559.7,True,False
"Department of Energy Technology, Aalborg University, Aalborg, Denmark",57.0159209,9.9753108,False,,0.0,,1058.3050778358058,B_density_fallback,Lindholmen Science Park,Q6552489,140657.9,False,True
"Cellular Therapeutics Center, Memorial Sloan Kettering Cancer Center, New York, New York, USA",40.7644418,-73.9569549,False,,5.0,500.0439272928928,378.8621169449353,B_density_fallback,University City Science Center,Q7894587,137914.4,False,True
"Department of Medicine, Memorial Sloan Kettering Cancer Center, New York, New York, USA",40.7644418,-73.9569549,False,,5.0,500.0439272928928,378.8621169449353,B_density_fallback,University City Science Center,Q7894587,137914.4,False,True
"Department of Pharmacology, Weill Cornell Graduate School of Medical Sciences, New York, New York, USA",40.7127281,-74.0060152,False,,6.0,90.06433945155172,184.6001027628801,B_density_fallback,University City Science Center,Q7894587,131054.8,False,True
"Department of Microbiology and Immunology, Weill Cornell Medicine, New York, New York, USA",40.7127281,-74.0060152,False,,6.0,90.06433945155172,184.6001027628801,B_density_fallback,University City Science Center,Q7894587,131054.8,False,True
"Proteomics Core Laboratory, Memorial Sloan Kettering Cancer Center, New York, New York, USA",40.7644418,-73.9569549,False,,5.0,500.0439272928928,378.8621169449353,B_density_fallback,University City Science Center,Q7894587,137914.4,False,True
"Eureka Therapeutics Inc., Emeryville, California, USA",37.8314089,-122.2865266,False,,0.0,1107.8979173505,484.5485997952964,B_density_fallback,Stanford Research Park,Q3968168,48671.9,False,True
"Department of Epidemiology and Biostatistics, Memorial Sloan Kettering Cancer Center, New York, New York, USA",40.7644418,-73.9569549,False,,5.0,500.0439272928928,378.8621169449353,B_density_fallback,University City Science Center,Q7894587,137914.4,False,True
"Molecular Pharmacology, Memorial Sloan Kettering Cancer Center, New York, New York, USA",40.7644418,-73.9569549,False,,5.0,500.0439272928928,378.8621169449353,B_density_fallback,University City Science Center,Q7894587,137914.4,False,True
"University of California, San Diego",32.8792438,-117.2311247,False,,12.0,120.22744324505842,427.1045388382493,B_density_fallback,NASA Research Park,Q6952426,668097.4,False,True
"Department of Molecular and Cellular Oncology, The University of Texas MD Anderson Cancer Center, Houston, TX, USA. ryang@mdanderson.org",29.7589382,-95.3676974,False,,1.0,197.79087283504137,562.7095694966171,B_density_fallback,Cummings Research Park,Q5194123,987948.2,False,True
"Department of Molecular and Cellular Oncology, The University of Texas MD Anderson Cancer Center, Houston, TX, USA",29.7589382,-95.3676974,False,,1.0,197.79087283504137,562.7095694966171,B_density_fallback,Cummings Research Park,Q5194123,987948.2,False,True
"Tianjin Key Laboratory of Lung Cancer Metastasis and Tumor Microenvironment, Lung Cancer Institute, Tianjin Medical University General Hospital, Tianjin, China",39.1165863,117.1783982,False,,6.0,435.2962202970365,1876.8883101714664,B_density_fallback,Zhongguancun,Q197834,121652.2,False,True
"Graduate Institute of Biomedical Sciences and Center for Molecular Medicine, China Medical University, Taichung, Taiwan",24.1564155,120.6797558,False,,5.0,1832.47917848766,3779.8162535547776,B_density_fallback,Central Taiwan Science Park,Q10876715,8633.2,False,True
"Department of Liver Surgery and Transplantation, Liver Cancer Institute, Zhongshan Hospital, Fudan University and Key Laboratory of Carcinogenesis and Cancer Invasion, Ministry of Education, Shanghai, China",31.2279679,121.4021319,False,,2.0,749.7854130058279,390.26800400744247,B_density_fallback,Caohejing Hi-Tech Park,Q13671540,7050.0,False,True
"Department of Pathology, Harbin Medical University, Harbin, China",45.6994309,126.6140271,False,,7.0,538.6329036403537,,B_density_fallback,Future Science City,Q10902331,1031544.3,False,True
"Department of Biomedical Sciences, College of Medicine, Inha University, Incheon, Korea",37.4494431,126.6534446,False,,7.0,349.40213585043534,1397.3737584915252,B_density_fallback,Linyi National High-Tech Zone,Q120017310,801515.5,False,True
"Division of Hematology/Medical Oncology, Department of Internal Medicine, Taichung Veterans General Hospital, Taichung, Taiwan",24.1845526,120.6047597,False,,1.0,,2734.012379409187,B_density_fallback,Central Taiwan Science Park,Q10876715,3139.4,False,True
"Department of Medical Oncology, The Seventh Affiliated Hospital, Sun Yat-Sen University, Shenzhen, China",22.7993363,113.9484996,False,,1.0,0.0,,B_density_fallback,Longhua Science and Technology Park,Q25105169,18604.4,False,True
"Department of Molecular and Cellular Oncology, The University of Texas MD Anderson Cancer Center, Houston, TX, USA. mhung@cmu.edu.tw",29.7589382,-95.3676974,False,,1.0,197.79087283504137,562.7095694966171,B_density_fallback,Cummings Research Park,Q5194123,987948.2,False,True
"Graduate Institute of Biomedical Sciences and Center for Molecular Medicine, China Medical University, Taichung, Taiwan. mhung@cmu.edu.tw",24.1564155,120.6797558,False,,5.0,1832.47917848766,3779.8162535547776,B_density_fallback,Central Taiwan Science Park,Q10876715,8633.2,False,True
"Tumor Immunotherapy Program, Campbell Family Institute for Breast Cancer Research, Campbell Family Cancer Research Institute, Princess Margaret Cancer Centre, University Health Network, Toronto, Ontario, Canada",43.6534817,-79.3839347,False,,14.0,364.3870077992571,1267.101379761676,B_density_fallback,Bwtech@UMBC Research and Technology Park,Q16971357,537834.4,False,True
"Tumor Immunotherapy Program, Campbell Family Institute for Breast Cancer Research, Campbell Family Cancer Research Institute, Princess Margaret Cancer Centre, University Health Network, Toronto, Canada",43.6534817,-79.3839347,False,,14.0,364.3870077992571,1267.101379761676,B_density_fallback,Bwtech@UMBC Research and Technology Park,Q16971357,537834.4,False,True
"Takara Bio, Inc., Kusatsu, Japan",35.0137519,135.955226,False,,0.0,1148.2891038870446,3007.661349936075,B_density_fallback,Kyoto Research Park,Q11374832,19916.7,False,True
"Department of Immunology, University of Toronto, Toronto, Ontario, Canada",43.6608141,-79.3960322,False,,13.0,486.3042410265946,2451.8615618678587,B_density_fallback,Bwtech@UMBC Research and Technology Park,Q16971357,538988.1,False,True
"Department of Immunology, University of Toronto, Toronto, Canada",43.6608141,-79.3960322,False,,13.0,486.3042410265946,2451.8615618678587,B_density_fallback,Bwtech@UMBC Research and Technology Park,Q16971357,538988.1,False,True
"Department of Medicine, University of Toronto, Toronto, Ontario, Canada",43.6554477,-79.3890156,False,,14.0,91.85085410291336,1653.612699578741,B_density_fallback,Bwtech@UMBC Research and Technology Park,Q16971357,538207.0,False,True
"Department of Medicine, University of Toronto, Toronto, Canada",43.6554477,-79.3890156,False,,14.0,91.85085410291336,1653.612699578741,B_density_fallback,Bwtech@UMBC Research and Technology Park,Q16971357,538207.0,False,True
"Department of Hematology-Oncology, Princess Margaret Cancer Centre, University Health Network, Toronto, Ontario, Canada",43.6534817,-79.3839347,False,,14.0,364.3870077992571,1267.101379761676,B_density_fallback,Bwtech@UMBC Research and Technology Park,Q16971357,537834.4,False,True
"Department of Hematology–Oncology, Princess Margaret Cancer Centre, University Health Network, Toronto, Canada",43.6534817,-79.3839347,False,,14.0,364.3870077992571,1267.101379761676,B_density_fallback,Bwtech@UMBC Research and Technology Park,Q16971357,537834.4,False,True
"Center for Cellular Immunotherapies, Department of Pathology and Laboratory Medicine,",,,,,,,,no_coordinates,,,,,
"Department of Systems Pharmacology and Translational Therapeutics, and",,,,,,,,no_coordinates,,,,,
"Department of Radiation Oncology, Perelman School of Medicine, University of Pennsylvania, Philadelphia, Pennsylvania, USA",39.9522148,-75.1955729,False,,4.0,539.3449702128324,863.4597817387142,B_density_fallback,University City Science Center,Q7894587,559.7,True,False
"Center for Cell Engineering and Immunology Program, Sloan Kettering Institute, Memorial Sloan Kettering Cancer Center, New York, NY, USA",40.7644418,-73.9569549,False,,5.0,500.0439272928928,378.8621169449353,B_density_fallback,University City Science Center,Q7894587,137914.4,False,True
"Institute of Hematology, Zhejiang University & Zhejiang Engineering Laboratory for Stem Cell and Immunotherapy, Zhejing, China",,,,,,,,no_coordinates,,,,,
"Cancer Biology and Genetics Program, Sloan Kettering Institute, Memorial Sloan Kettering Cancer Center, New York, NY, USA",40.7644418,-73.9569549,False,,5.0,500.0439272928928,378.8621169449353,B_density_fallback,University City Science Center,Q7894587,137914.4,False,True
"Center for Cell Engineering and Immunology Program, Sloan Kettering Institute, Memorial Sloan Kettering Cancer Center, New York, NY, USA. m-sadelain@ski.mskcc.org",40.7644418,-73.9569549,False,,5.0,500.0439272928928,378.8621169449353,B_density_fallback,University City Science Center,Q7894587,137914.4,False,True
"University of Alberta, Edmonton, Canada",53.52682,-113.5244937,False,,1.0,264.6349735714891,1027.1214631848218,B_density_fallback,University of Utah Research Park,Q7896520,1425535.0,False,True
"Department of Assisted Reproduction, Shanghai Ninth People's Hospital, Shanghai Jiao Tong University School of Medicine Shanghai, 200011, Shanghai, China",31.2091825,121.4958893,False,,1.0,1106.2993366840058,68.80473405080342,B_density_fallback,Caohejing Hi-Tech Park,Q13671540,8158.2,False,True
"Department of Assisted Reproduction, Shanghai Ninth People’s Hospital, Shanghai Jiao Tong University School of Medicine Shanghai, 200011, Shanghai, China",31.2091825,121.4958893,False,,1.0,1106.2993366840058,68.80473405080342,B_density_fallback,Caohejing Hi-Tech Park,Q13671540,8158.2,False,True
"Department of Biophysics, College of Basic Medical Sciences, Second Military Medical University, 200433, Shanghai, China",31.3075202,121.5230816,False,,6.0,429.55646284444185,470.1198144917209,B_density_fallback,Zhangjiang Hi-Tech Park,Q986206,13844.1,False,True
"Team SMMU-China of International Genetically Engineered Machine (iGEM) Competitions, Department of Biophysics, Second Military Medical University, 200433, Shanghai, China",31.3075202,121.5230816,False,,6.0,429.55646284444185,470.1198144917209,B_density_fallback,Zhangjiang Hi-Tech Park,Q986206,13844.1,False,True
"Pharchoice Therapeutics Inc., 201406, Shanghai, China",31.2312707,121.4700152,False,,0.0,523.5014637734587,285.11178335035385,B_density_fallback,Caohejing Hi-Tech Park,Q13671540,8256.9,False,True
"Department of Biophysics, College of Basic Medical Sciences, Second Military Medical University, 200433, Shanghai, China. hus@smmu.edu.cn",31.3075202,121.5230816,False,,6.0,429.55646284444185,470.1198144917209,B_density_fallback,Zhangjiang Hi-Tech Park,Q986206,13844.1,False,True
"Team SMMU-China of International Genetically Engineered Machine (iGEM) Competitions, Department of Biophysics, Second Military Medical University, 200433, Shanghai, China. hus@smmu.edu.cn",31.3075202,121.5230816,False,,6.0,429.55646284444185,470.1198144917209,B_density_fallback,Zhangjiang Hi-Tech Park,Q986206,13844.1,False,True
"Georgia Institute of Technology, Atlanta, USA",33.7760948,-84.3988077,False,,4.0,1219.6306352402328,749.8462983961108,B_density_fallback,Cummings Research Park,Q5194123,232008.5,False,True
"Mazandaran and Golestan Regional Electric Company, Emam square, Sari, Mazandaran, Iran",36.5537458,53.0602761,False,,1.0,178.06286473946662,2341.417065347547,B_density_fallback,Pardis Technology Park,Q7136565,143892.7,False,True
"Faculty of Technology and Engineering, University of Mazandaran, Babolsar, Iran",36.6996488,52.6460869,False,,0.0,,,B_density_fallback,Pardis Technology Park,Q7136565,130664.9,False,True
"Department of Electronics Design (EKS), University of Mid Sweden University, Sundsvall, Sweden",62.3907552,17.3071024,False,,1.0,608.6519749772538,1637.5497999020984,B_density_fallback,Uppsala Science Park,Q118310222,283730.0,False,True
"BMT & Cellular Therapy Program, Division of Hematology & Oncology, Medical College of Wisconsin, Milwaukee, WI, USA. nishah@mcw.edu",43.0438671,-88.0224532,False,,1.0,1875.3963583452864,901.9907607468572,B_density_fallback,Ignition Park,Q16847353,211317.7,False,True
"BMT & Cellular Therapy Program, Division of Hematology & Oncology, Medical College of Wisconsin, Milwaukee, USA",43.0438671,-88.0224532,False,,1.0,1875.3963583452864,901.9907607468572,B_density_fallback,Ignition Park,Q16847353,211317.7,False,True
"BMT & Cellular Therapy Program, Division of Hematology & Oncology, Medical College of Wisconsin, Milwaukee, WI, USA",43.0438671,-88.0224532,False,,1.0,1875.3963583452864,901.9907607468572,B_density_fallback,Ignition Park,Q16847353,211317.7,False,True
"Lentigen, a Miltenyi Biotec company, Gaithersburg, MD, USA",39.1399187,-77.1929215,False,,0.0,183.78628555876065,1524.035124016924,B_density_fallback,Bwtech@UMBC Research and Technology Park,Q16971357,43182.7,False,True
"Lentigen, a Miltenyi Biotec company, Gaithersburg, USA",39.1399187,-77.1929215,False,,0.0,183.78628555876065,1524.035124016924,B_density_fallback,Bwtech@UMBC Research and Technology Park,Q16971357,43182.7,False,True
"Division of Biostatistics, Medical College of Wisconsin, Milwaukee, WI, USA",43.0438671,-88.0224532,False,,1.0,1875.3963583452864,901.9907607468572,B_density_fallback,Ignition Park,Q16847353,211317.7,False,True
"Division of Biostatistics, Medical College of Wisconsin, Milwaukee, USA",43.0438671,-88.0224532,False,,1.0,1875.3963583452864,901.9907607468572,B_density_fallback,Ignition Park,Q16847353,211317.7,False,True
"Department of Pathology, Medical College of Wisconsin, Milwaukee, WI, USA",43.0438671,-88.0224532,False,,1.0,1875.3963583452864,901.9907607468572,B_density_fallback,Ignition Park,Q16847353,211317.7,False,True
"Department of Pathology, Medical College of Wisconsin, Milwaukee, USA",43.0438671,-88.0224532,False,,1.0,1875.3963583452864,901.9907607468572,B_density_fallback,Ignition Park,Q16847353,211317.7,False,True
"Lentigen, a Miltenyi Biotec company, Gaithersburg, MD, USA. boro.dropulic@miltenyi.com",39.1399187,-77.1929215,False,,0.0,183.78628555876065,1524.035124016924,B_density_fallback,Bwtech@UMBC Research and Technology Park,Q16971357,43182.7,False,True
"Department of Pediatrics, University of Washington School of Medicine, Ben Towne Center for Childhood Cancer Research, Seattle, WA, USA",47.6038321,-122.330062,False,,2.0,156.92920579379623,248.84199185856136,B_density_fallback,Lawrence Livermore National Laboratory,Q519826,1103969.7,False,True
"Department of Pediatrics, University of Washington School of Medicine, Ben Towne Center for Childhood Cancer Research, Seattle, USA",47.6038321,-122.330062,False,,2.0,156.92920579379623,248.84199185856136,B_density_fallback,Lawrence Livermore National Laboratory,Q519826,1103969.7,False,True
"Raleigh, USA",35.7803977,-78.6390989,False,,4.0,845.1787248825427,699.5277018977956,B_density_fallback,Research Triangle Park,Q1187093,24657.3,False,True
"Division of Cardiovascular Medicine, Department of Medicine (M.P.B., B.A.O., S.D.W., G.C.S., M.D.C.), Brigham and Women’s Hospital, Harvard Medical School, Boston, MA",42.3369167,-71.1038922,False,,10.0,1097.153920629713,1665.874298547512,B_density_fallback,University City Science Center,Q7894587,432617.0,False,True
"Regeneron Pharmaceuticals, Inc, Tarrytown, NY (B.A.O.)",39.2911347,-94.6720899,False,,0.0,,1067.650774148251,B_density_fallback,Research Park at the University of Illinois Urbana-Champaign,Q16975637,557355.8,False,True
"Division of Cardiovascular Medicine, Clinical Pharmacology, Cardio-Oncology Program (J.E.S., J.M.), Vanderbilt University Medical Center and Vanderbilt-Ingram Cancer Center, Nashville, TN",36.1622767,-86.7742984,False,,1.0,33.40557831613387,962.7406644256682,B_density_fallback,Cummings Research Park,Q5194123,160372.3,False,True
