wikidata_id,lat,lon,osm_relation_id,name,country
Q1378319,51.4703,6.63861,,Eurotec,Germany
Q24946499,52.9993,18.6551,,Q24946499,Poland
Q28770190,50.958799,7.187239,,TechnologiePark Bergisch Gladbach,Germany
Q4201239,55.7505,48.747,5293421,Innopolis,Russia
Q3147850,55.713888888,13.216666666,,Ideon Science Park,Sweden
Q760517,48.33,10.8902,,Augsburg Innovationspark,Germany
Q1609378,52.3803,13.065,,Albert Einstein Science Park,Germany
Q10542829,56.670194444,16.377611111,,Q10542829,Sweden
Q7934608,37.204,-80.412,,Virginia Tech Corporate Research Center,United States
Q7058524,54.608,-5.903,,Catalyst Inc,United Kingdom
Q7646838,51.239,-0.612987,,Surrey Research Park,United Kingdom
Q7692758,42.296300117,-7.800407352,,Tecnopole,Spain
Q6366127,22.83444444,120.25694444,,Kaohsiung Science Park,Taiwan
Q17028810,39.993381,116.324495,,TusPark,People's Republic of China
Q7895387,50.7311,-3.4565,,Exeter Science Park,United Kingdom
Q6807075,41.276,1.987,,Mediterranean Technology Park,Spain
Q6745074,52.1048,-2.3115,,Malvern Hills Science Park,United Kingdom
Q6063230,42.580194444,-5.595638888,,Technologic park of León,Spain
Q10507672,58.391666666,13.856944444,,Science Park Skövde,Sweden
Q10345371,-23.157305555,-45.792277777,,Parque Tecnológico de São José dos Campos,Brazil
Q6552489,57.706944444,11.94,,Lindholmen Science Park,Sweden
Q6477131,28.36722222,-81.28027778,,Lake Nona Medical City,United States
Q5328863,51.5257,-0.0875,,East London Tech City,United Kingdom
Q4914701,40.360428,-8.606848,,Biocant,Portugal
Q8075702,51.01057,3.71051,,Zwijnaarde science park,Belgium
Q4381443,14.0786,100.6037,,Thailand Science Park,Thailand
Q11374832,34.994833,135.737778,14137253,Kyoto Research Park,Japan
Q5741496,61.446944444,23.86,,Hermia,Finland
Q10876715,24.21,120.61816667,,Central Taiwan Science Park,Taiwan
Q7894587,39.956327,-75.191787,,University City Science Center,United States
Q5281955,40.4224,-86.9232,,Discovery Park,United States
Q4456911,54.857907,83.111602,,Novosibirsk Technopark,Russia
Q16971357,39.2498,-76.7123,,Bwtech@UMBC Research and Technology Park,United States
Q6062063,43.522601251,-5.612726211,,Q6062063,Spain
Q11823726,54.4961,18.5375,,Pomeranian Science and Technology Park Gdynia,Poland
Q6726840,32.65972222,-16.92611111,,Madeira Tecnopolo,Portugal
Q5384972,50.81698056,4.26673056,,Erasmus Research Park,Belgium
Q4597611,52.355555555,4.953611111,,Science Park Amsterdam,Netherlands
Q11602890,36.08347,140.07644,,Tsukuba Science City,Japan
Q16847353,41.661388888,-86.257777777,,Ignition Park,United States
Q4884724,58.39416667,15.56027778,,Linköping Science Park,Sweden
Q6999841,54.670277777,-1.450833333,,Netpark,United Kingdom
Q6216473,57.68474722,11.97796667,,Johanneberg Science Park,Sweden
Q18009248,41.9673,2.83764,,Parc de Recerca i Innovació de la Universitat de Girona,Spain
Q16129492,31.26373189,34.81106043,,Gav Yam Negev Advanced Technologies Park,Israel
Q8025062,50.6825,-2.26556,,Winfrith Technology Centre,United Kingdom
Q4835611,-19.885111111,-43.976472222,,BHTec,Brazil
Q7136565,35.728611111,51.825833333,,Pardis Technology Park,Iran
Q10566881,22.604722222,120.299444444,,Kaohsiung Software Park,Taiwan
Q6036185,-37.779,175.308,,Waikato Innovation Park,New Zealand
Q16953794,51.5008,-2.4777,,Bristol and Bath Science Park,United Kingdom
Q5124178,8.999,-79.583,,Ciudad del Saber,Panama
Q4357999,12.98563611,77.73588333,,International Tech Park Bangalore,India
Q7702817,57.13777778,65.56666667,,West-Siberian Innovation Center,Russia
Q6818056,50.91,4.397,,Mercator Research Park,Belgium
Q7680753,50.4175,-4.10889,,Tamar Science Park,United Kingdom
Q6062537,37.146831,-3.604406,,Parque Tecnológico de Ciencias de la Salud,Spain
Q4356487,60.449322,22.293301,,Turku Science Park,Finland
Q13024187,11.717676,99.756404,,King Mongkut Science Park,Thailand
Q7566994,44.3206,-96.7644,,South Dakota State University Innovation Campus,United States
Q5877661,37.940661111,-3.79025,,Geolit,Spain
Q6952426,37.4089,-122.0622,,NASA Research Park,United States
Q7523109,1.28911111,103.78102778,,Singapore Science Park,Singapore
Q10902331,40.118343,116.476166,,Future Science City,People's Republic of China
Q16975637,40.091111111,-88.240166666,,Research Park at the University of Illinois Urbana-Champaign,United States
Q13931398,50.6330372,3.020054,,EuraTechnologies,France
Q7061528,52.6239,1.22395,,Norwich Research Park,United Kingdom
Q18588981,53.343,-2.6405,,Sci-Tech Daresbury,United Kingdom
Q15267784,39.5161,-0.42233,,University of Valencia Science Park,Spain
Q4859845,41.384214,2.193572,,Barcelona Biomedical Research Park,Spain
Q12256363,43.2925,-1.985,,Parque Científico y Tecnológico de Gipuzkoa,Spain
Q18932960,51.9764,5.647,,Agro Business Park,Netherlands
Q4354195,35.2236,139.674,,Yokosuka Research Park,Japan
Q5269620,19.1078,73.0137,,Dhirubhai Ambani Knowledge City,India
Q11940149,41.3815,2.11824,,Barcelona Scientific Park,Spain
Q7692579,-31.9973,115.891,,Technology Park,Australia
Q7896520,40.7578,-111.827,,University of Utah Research Park,United States
Q10345370,-21.148198,-47.857789,,SUPERA Park of Innovation and Technology of Ribeirão Preto,Brazil
Q7232208,51.134,-1.70159,,Porton Down,United Kingdom
Q7107027,59.94194444,10.71666667,,Oslo Science Park,Norway
Q6036172,30.426,-84.323,,Innovation Park,United States
Q10422767,65.6174142,22.1280032,,Parc scientifique de Luleå,Sweden
Q4811018,52.488,-1.886,,Aston Science Park,United Kingdom
Q5194123,34.7237,-86.6478,18502557,Cummings Research Park,United States
Q139479766,51.883,-8.549,,Cork Science and Innovation Park,Ireland
Q114167851,56.461839,-3.0506173,,"Dundee, Gemini Crescent, Technology Park, Grianan Centre",United Kingdom
Q55412048,18.852972222,98.957944444,,Princess Sirindhorn Astropark,Thailand
Q108479437,49.2279,16.5776,,Český technologický park,Czech Republic
Q63420968,43.421738,-5.8231215,,Q63420968,Spain
Q118107423,24.61895,94.01788,,Menjor Multipurpose Research Centre and Unity Park,India
Q22058798,28.5134,-80.6739,,Exploration Park,United States
Q114167853,57.22365,-2.3438953,,"Midmill Business Park, Kintore",United Kingdom
Q124248423,65.05896,25.45332,,Technopolis,Finland
Q59535539,46.796835,-71.31623,,Québec Metro High Tech Park (Canada),Canada
Q59261325,48.335673,14.323613,,Science Park JKU Linz,Austria
Q115707655,44.520469333,11.359949659,,Bologna Technopole,Italy
Q43967769,45.659596,9.653242,,Kilometro Rosso,Italy
Q112122648,55.693406,37.516342,,"Innovative Scientific and Technological Center of Moscow State University ""Vorobyovy Gory""",Russia
Q118310222,59.8442,17.6409,,Uppsala Science Park,Sweden
Q56293747,46.477777777,11.330277777,,NOI Techpark Südtirol/Alto Adige,Italy
Q17030796,28.222556,112.899374,,Changsha High-Tech Industrial Development Zone,People's Republic of China
Q28650892,22.521035893,114.079606361,,Hong Kong-Shenzhen Innovation and Technology Park,People's Republic of China
Q62056417,-24.620317,-53.711589,,Biopark,Brazil
Q97189984,62.787424,22.820807,,Q97189984,Finland
Q124312214,58.7694593,17.3873526,,Q124312214,Sweden
Q114167849,57.188791,-2.0828729,,"Aberdeen, Bridge of Don, Aberdeen Offshore Technology Park",United Kingdom
Q109331484,55.699,12.556,,Copenhagen Bio Science Park,Denmark
Q139947683,50.984375,5.78908682,,Brightlands Chemelot Campus,Netherlands
Q126173085,51.27894,-0.79095,,Cody Technology Park,United Kingdom
Q25105169,22.6586,114.0466,,Longhua Science and Technology Park,People's Republic of China
Q124042871,54.576016666,-1.102805555,,Wilton Centre,United Kingdom
Q29520561,-25.435569,-54.59534,,Itaipu Technological Park Foundation,Brazil
Q109906735,49.7237664,13.3361453,,Science and Technology Park Pilsen,Czech Republic
Q106637552,38.681635,27.312246,,Manisa Teknokent,Turkey
Q139913700,51.403459,6.1231184,,Brightlands Campus Greenport Venlo,Netherlands
Q66731098,40.514542,-3.337953,,Tecnoalcalá,Spain
Q135036739,-26.1947326,28.0323773,,Tshimologong Precinct,South Africa
Q29789835,48.161466,17.168691,,Biopark Ostredky,Slovakia
Q115942856,48.0170161,7.829253,,Freiburger Innovationszentrum,Germany
Q140007272,50.882725,5.97295761,,Brightlands Smart Services Campus,Netherlands
Q83213564,51.825,5.82,,Novio Tech Campus,Netherlands
Q65127945,45.518611111,9.106666666,4816893,Milan Innovation District,Italy
Q131220705,38.382318778,-0.524915633,,Q131220705,Spain
Q55750607,43.847,10.977194444,,Polo tecnologico,Italy
Q114167848,57.615639,-3.570898,,Forres Enterprise Park,United Kingdom
Q63057631,50.728722222,14.006444444,,Nupharo Science Park,Czech Republic
Q28683746,35.538227777,139.761577777,,King Skyfront,Japan
Q138528013,42.816306885,-1.601338863,,Q138528013,Spain
Q124635430,28.523568251,-13.892855644,,Parque Tecnológico de Fuerteventura,Spain
Q93049675,43.331836358,-8.393519627,,Q93049675,Spain
Q134063383,50.835632,5.71313739,,Brightlands Maastricht Health Campus,Netherlands
Q140289253,30.251764,130.593371,,Yakushima Botanical Research Park,Japan
Q119438225,53.9489,-1.0457,,York Science Park,United Kingdom
Q84360660,39.862444444,32.735916666,,Hacettepe Teknokent,Turkey
Q27702619,51.285251,1.341575,,Discovery Park,United Kingdom
Q30296087,48.1891,16.4026,,Vienna BioCenter,Austria
Q91736678,52.11942,5.19105,,Q91736678,Netherlands
Q28415497,22.928611111,120.294444444,,Shalun Smart Green Energy Science City,Taiwan
Q48809369,45.696917,9.035417,,ComoNExT,Italy
Q131481206,30.486146669,-84.150036515,,Summit East Technology Park,United States
Q53588580,-23.650646,-46.621845,,Parque CienTec,Brazil
Q98168875,28.468194444,-16.297222222,,Parque las Mantecas,Spain
Q134884779,31.07296,120.974394,,Huawei Lianqiuhu,People's Republic of China
Q65195550,59.350444,18.022722,,Karolinska Institutet Science Park,Sweden
